function,dim,algorithm,n_runs,f_mean,f_median,f_std,f_best,f_worst,evals_mean,evals_median,success_rate,runtime_mean_s,seed_base
rastrigin,2,evolutionary,30,2.513754100874621e-07,2.2515678210766055e-10,9.782391528278239e-07,0.0,5.428584060496178e-06,12060.0,12060.0,1.0,0.16073050558722268,2183006550
rastrigin,2,gradient_descent,1600,17.060952171271232,16.914202849578857,11.458809931719758,2.1749713141616667e-11,49.74744586914221,150.1125,146.0,0.010625,0.0009521633679105434,2083006250
rastrigin,2,pso,30,0.0,0.0,0.0,0.0,0.0,8040.0,8040.0,1.0,0.0038046679847563306,2283006850
rastrigin,3,differential_evolution,30,8.31411098864976e-06,1.4026113603904378e-11,4.4739109280752355e-05,0.0,0.0002492415265109571,8040.0,8040.0,1.0,0.13003967503706615,2383007150
rastrigin,3,evolutionary,30,1.7887438730213036e-08,1.0671392658423429e-09,5.191669062343549e-08,1.3145040611561853e-13,2.606688944695179e-07,12060.0,12060.0,1.0,0.16315295848374564,2183006550
rastrigin,3,gradient_descent,1600,26.278564450782667,25.868681991673043,13.660586778031735,3.7125857943465235e-11,74.62116880368407,218.660625,218.0,0.00125,0.0013484977291955147,2083006250
rastrigin,3,pso,30,0.2984889200824133,8.881784197001252e-15,0.5233389506217101,0.0,1.9899181141865796,8040.0,8040.0,0.7333333333333333,0.003997019414479534,2283006850
rosenbrock,2,differential_evolution,30,8.672897029371176e-28,1.0661948172127738e-30,3.1034853664205868e-27,0.0,1.428652983853705e-26,8040.0,8040.0,1.0,0.13541066953136274,2383007150
rosenbrock,2,evolutionary,30,0.009456371533114872,0.0017813165285976078,0.022442410153334143,4.4196212753666606e-24,0.10696298548256236,12060.0,12060.0,0.8,0.1587886875262484,2183006550
rosenbrock,2,gradient_descent,1600,444638.157954335,810081.0,398018.645139699,4.607833883737302e-06,810081.0,10001.0,10001.0,0.014375,0.06908663876340143,2083006250
rosenbrock,2,pso,30,5.102100450200414e-10,2.411322978351279e-11,1.331059043246752e-09,7.79369837262057e-16,6.307995642151115e-09,8040.0,8040.0,1.0,0.0038433778022105495,2283006850
rosenbrock,3,differential_evolution,30,6.410608032840726e-15,6.356522746944067e-16,1.916142607646831e-14,1.2378526642320679e-17,9.212687111314759e-14,8040.0,8040.0,1.0,0.1380309556455662,2383007150
